id,sensorId,observationDate,julianDateUTC,verticalPosition,temperature,qualityFlag,qartodFlags
10406732,2371,2023-04-16 01:49:30.000,2023105.576041,-1.00,19.40,3,0000-0000-0000
10406871,2371,2023-04-16 02:49:30.000,2023105.617708,-1.00,19.34,3,0000-0000-0000
10407010,2371,2023-04-16 03:49:30.000,2023105.659375,-1.00,19.30,3,0000-0000-0000
10407149,2371,2023-04-16 04:49:30.000,2023105.701041,-1.00,19.29,3,0000-0000-0000
10407288,2371,2023-04-16 05:49:30.000,2023105.742708,-1.00,19.27,3,0000-0000-0000
10407427,2371,2023-04-16 06:49:30.000,2023105.784375,-1.00,19.25,3,0000-0000-0000
10407566,2371,2023-04-16 07:49:30.000,2023105.826041,-1.00,19.23,3,0000-0000-0000
10407705,2371,2023-04-16 08:49:30.000,2023105.867708,-1.00,19.25,3,0000-0000-0000
10407844,2371,2023-04-16 09:49:30.000,2023105.909375,-1.00,19.28,3,0000-0000-0000
10408247,2371,2023-04-16 10:49:30.000,2023105.951041,-1.00,19.35,3,0000-0000-0000
10408248,2371,2023-04-16 11:49:30.000,2023105.992708,-1.00,19.51,3,0000-0000-0000
10408249,2371,2023-04-16 12:49:30.000,2023106.034375,-1.00,19.63,3,0000-0000-0000
10408400,2371,2023-04-16 13:49:30.000,2023106.076041,-1.00,19.88,3,0000-0000-0000
10408539,2371,2023-04-16 14:49:30.000,2023106.117708,-1.00,19.84,3,0000-0000-0000
10408678,2371,2023-04-16 15:49:30.000,2023106.159375,-1.00,19.61,3,0000-0000-0000
10408817,2371,2023-04-16 16:49:30.000,2023106.201041,-1.00,19.58,3,0000-0000-0000
10408956,2371,2023-04-16 17:49:30.000,2023106.242708,-1.00,19.53,3,0000-0000-0000
10409095,2371,2023-04-16 18:49:30.000,2023106.284375,-1.00,19.49,3,0000-0000-0000
10409234,2371,2023-04-16 19:49:30.000,2023106.326041,-1.00,19.46,3,0000-0000-0000
10409373,2371,2023-04-16 20:49:30.000,2023106.367708,-1.00,19.43,3,0000-0000-0000
10409500,2371,2023-04-16 21:49:30.000,2023106.409375,-1.00,19.41,3,0000-0000-0000
10409639,2371,2023-04-16 22:49:30.000,2023106.451041,-1.00,19.37,3,0000-0000-0000
10409766,2371,2023-04-16 23:49:30.000,2023106.492708,-1.00,19.38,3,0000-0000-0000
10409885,2371,2023-04-17 00:49:30.000,2023106.534375,-1.00,19.34,3,0000-0000-0000
10410002,2371,2023-04-17 01:49:30.000,2023106.576041,-1.00,19.34,3,0000-0000-0000
10410118,2371,2023-04-17 02:49:30.000,2023106.617708,-1.00,19.34,3,0000-0000-0000
10410239,2371,2023-04-17 03:49:30.000,2023106.659375,-1.00,19.36,3,0000-0000-0000
10410412,2371,2023-04-17 04:49:30.000,2023106.701041,-1.00,19.34,3,0000-0000-0000
10410520,2371,2023-04-17 05:49:30.000,2023106.742708,-1.00,19.33,3,0000-0000-0000
10410678,2371,2023-04-17 06:49:30.000,2023106.784375,-1.00,19.35,3,0000-0000-0000
10410818,2371,2023-04-17 07:49:30.000,2023106.826041,-1.00,19.40,3,0000-0000-0000
10410957,2371,2023-04-17 08:49:30.000,2023106.867708,-1.00,19.43,3,0000-0000-0000
10411044,2371,2023-04-17 09:49:30.000,2023106.909375,-1.00,19.40,3,0000-0000-0000
10411625,2371,2023-04-17 10:49:30.000,2023106.951041,-1.00,19.46,3,0000-0000-0000
10411626,2371,2023-04-17 11:49:30.000,2023106.992708,-1.00,19.50,3,0000-0000-0000
10411627,2371,2023-04-17 12:49:30.000,2023107.034375,-1.00,19.54,3,0000-0000-0000
10411628,2371,2023-04-17 13:49:30.000,2023107.076041,-1.00,19.58,3,0000-0000-0000
10411767,2371,2023-04-17 14:49:30.000,2023107.117708,-1.00,19.66,3,0000-0000-0000
10411894,2371,2023-04-17 15:49:30.000,2023107.159375,-1.00,19.64,3,0000-0000-0000
10412013,2371,2023-04-17 16:49:30.000,2023107.201041,-1.00,19.57,3,0000-0000-0000
10412172,2371,2023-04-17 17:49:30.000,2023107.242708,-1.00,19.56,3,0000-0000-0000
10412310,2371,2023-04-17 18:49:30.000,2023107.284375,-1.00,19.54,3,0000-0000-0000
10412450,2371,2023-04-17 19:49:30.000,2023107.326041,-1.00,19.54,3,0000-0000-0000
10412589,2371,2023-04-17 20:49:30.000,2023107.367708,-1.00,19.53,3,0000-0000-0000
10412728,2371,2023-04-17 21:49:30.000,2023107.409375,-1.00,19.54,3,0000-0000-0000
10412807,2371,2023-04-17 22:49:30.000,2023107.451041,-1.00,19.54,3,0000-0000-0000
10413006,2371,2023-04-17 23:49:30.000,2023107.492708,-1.00,19.54,3,0000-0000-0000
10413145,2371,2023-04-18 00:49:30.000,2023107.534375,-1.00,19.53,3,0000-0000-0000
10413284,2371,2023-04-18 01:49:30.000,2023107.576041,-1.00,19.52,3,0000-0000-0000
10413423,2371,2023-04-18 02:49:30.000,2023107.617708,-1.00,19.51,3,0000-0000-0000
10413562,2371,2023-04-18 03:49:30.000,2023107.659375,-1.00,19.49,3,0000-0000-0000
10413689,2371,2023-04-18 04:49:30.000,2023107.701041,-1.00,19.49,3,0000-0000-0000
10413828,2371,2023-04-18 05:49:30.000,2023107.742708,-1.00,19.49,3,0000-0000-0000
10413907,2371,2023-04-18 06:49:30.000,2023107.784375,-1.00,19.48,3,0000-0000-0000
10413946,2371,2023-04-18 07:49:30.000,2023107.826041,-1.00,19.48,3,0000-0000-0000
10413983,2371,2023-04-18 08:49:30.000,2023107.867708,-1.00,19.50,3,0000-0000-0000
10414024,2371,2023-04-18 09:49:30.000,2023107.909375,-1.00,19.50,3,0000-0000-0000
10414523,2371,2023-04-18 10:49:30.000,2023107.951041,-1.00,19.49,3,0000-0000-0000
10414662,2371,2023-04-18 11:49:30.000,2023107.992708,-1.00,19.51,3,0000-0000-0000
10414907,2371,2023-04-18 12:49:30.000,2023108.034375,-1.00,19.54,3,0000-0000-0000
10414908,2371,2023-04-18 13:49:30.000,2023108.076041,-1.00,19.56,3,0000-0000-0000
10415039,2371,2023-04-18 14:49:30.000,2023108.117708,-1.00,19.56,3,0000-0000-0000
10415218,2371,2023-04-18 15:49:30.000,2023108.159375,-1.00,19.55,3,0000-0000-0000
10415357,2371,2023-04-18 16:49:30.000,2023108.201041,-1.00,19.55,3,0000-0000-0000
10415496,2371,2023-04-18 17:49:30.000,2023108.242708,-1.00,19.54,3,0000-0000-0000
10415635,2371,2023-04-18 18:49:30.000,2023108.284375,-1.00,19.53,3,0000-0000-0000
